Category,Program Name,URL,Description
Computer Engineering Technology,"Computer Engineering Technology, BS",/programs/computer-engineering-technology-bs,
Computer Science,"Computer Science, BA",/programs/computer-science-ba,
Computer Science,"Computer Science, BS",/programs/computer-science-bs,
Computer Science,Database Management Certificate,/programs/database-management-certificate,"12-credit program Small class sizes Classes offered on-campus, online, and evenings Designed for working professionals State-of-the-art software and lab equipment Hands-on faculty with real-world experience Free on-campus childcare"
Computer Science,"Computer Science, Minor",/programs/computer-science-minor,
Computer Science,"Cybersecurity Technology, Minor",/programs/cybersecurity-technology-minor,
Computer Science,Digital Humanities Minor,/programs/digital-humanities-minor,"Interdisciplinary program 18-credits Small class sizes Access to state-of-the-art technology, including: Artificial Intelligence tools Virtual reality E-Sports and gaming computers Opportunities to design original multimedia and interdisciplinary research projects and publish those projects online as part of a professional portfolio"
Computer Science,"Computer Information Technology, MS",/programs/computer-information-technology-ms,
Construction Management,"Construction Management, BS",/programs/construction-management-bs,
Construction Management,"Building Construction Management, Minor",/programs/building-construction-management-minor,
Construction Management,"Construction Management, MS",/programs/construction-management-ms,
Construction Management,Official Certificate Program in Construction Management,/programs/official-certificate-program-construction-management,
Counseling & Counselor Education,"Counselor Education with Specialization in Clinical Professional Counseling, MS",/programs/counselor-education-specialization-clinical-professional-counseling-ms,
Counseling & Counselor Education,"Counselor Education with Specialization in School Counseling, MS",/programs/counselor-education-specialization-school-counseling-ms,
Counseling & Counselor Education,"Student Development in Higher Education, MS",/programs/student-development-higher-education-ms,
Counseling & Counselor Education,Advanced Official Certificate Program in Professional Counseling,/programs/advanced-official-certificate-program-professional-counseling,
Creative Writing,"Creative Writing, Minor",/programs/creative-writing-minor,
Criminology & Criminal Justice,"Criminology, BA",/programs/criminology-ba,
Criminology & Criminal Justice,"Criminal Justice, Minor",/programs/criminal-justice-minor,
Criminology & Criminal Justice,"Criminal Justice, MS",/programs/criminal-justice-ms,
Criminology & Criminal Justice,"Criminal Justice Administration, MA",/programs/criminal-justice-administration-ma,
Criminology & Criminal Justice,Official Certificate Program in Criminal Justice Leadership,/programs/official-certificate-program-criminal-justice-leadership,
Criminology & Criminal Justice,Official Certificate Program in Victim's Advocacy,/programs/official-certificate-program-victims-advocacy,
Criminology & Criminal Justice,Official Certificate Program in Forensic Counseling,/programs/official-certificate-program-forensic-counseling,
Cross-Cultural Analysis,Cross-Cultural Analysis Minor,/programs/cross-cultural-analysis-minor,
Cybersecurity,"Cybersecurity, BS",/programs/cybersecurity-bs,
Cybersecurity,"Cybersecurity, MS",/programs/cybersecurity-ms,Starts every January and August 33 credits Attend full- or part-time Classes on-campus Small class sizes Flexible classes to accommodate working professionals of various backgrounds Expert faculty dedicated to student success Access to Central’s state-of-the-art Cybersecurity Hall Newly established Artificial Intelligence Corridor Capstone project that allows students to apply their knowledge to a specific cybersecurity-related problem Networking opportunities and potential pathways to internships and employment Free on-campus childcare Financial aid available
Dance,"Dance, Minor",/programs/dance-minor,
Dance,"Dance Education, BS",/programs/dance-education-bs,
Data Science,"Data Science, MS",/programs/data-science-ms,
Data Science,Official Certificate Program in Data Science,/programs/official-certificate-program-data-science,
Detective,Detective Certificate,/programs/detective-certificate,
Detective,Advanced Detective Certificate,/programs/advanced-detective-certificate,
Early Childhood Studies,Early Childhood Studies,/programs/early-childhood-studies,
Earth Sciences,"Earth Sciences, BS",/programs/earth-sciences-bs,
Earth Sciences,"Earth Sciences, Minor",/programs/earth-sciences-minor,
Earth Sciences,"Earth Sciences (Certifiable for secondary teaching), Minor",/programs/earth-sciences-certifiable-secondary-teaching-minor,
Earth Sciences,"Earth Sciences (Certifiable for Secondary Education), BS",/programs/earth-sciences-certifiable-secondary-education-bs,
East Asian Studies,"East Asian Studies, Minor",/programs/east-asian-studies-minor,
Economics,"Economics, BA",/programs/economics-ba,
Economics,"Economics, Minor",/programs/economics-minor,
Educational Leadership,"Educational Leadership, EdD",/programs/educational-leadership-edd,
Educational Leadership,Sixth-Year Certificate in Educational Leadership,/programs/sixth-year-certificate-educational-leadership,
Educational Technology,"Educational Technology, MS",/programs/educational-technology-ms,
Electrical Engineering,"Electrical Engineering, BS",/programs/electrical-engineering-bs,
Electronics Technology,"Electronics Technology, BS",/programs/electronics-technology-bs,
Elementary Education,"Elementary Education, BS",/programs/elementary-education-bs,
Elementary Education,"Elementary Education, MS",/programs/elementary-education-ms,
Elementary Education,Post-Baccalaureate Teacher Preparation in Elementary Education,/programs/post-baccalaureate-teacher-preparation-elementary-education,
Engineering,Systems Engineering Minor,/programs/systems-engineering-minor,18-credit program Attend on-campus and online Small class sizes enable close interaction with instructors Comprehensive curriculum Hands-on faculty who bring real-world experience into the classroom All new cutting-edge facilities and laboratories Coursework that complements traditional engineering approaches by focusing on the entirety of a system
Engineering,"Systems Engineering, OCP",/programs/systems-engineering-ocp,"Starts every January and August 12-credit program Attend full- or part-time Tailored for working professionals, including managers and engineers seeking career advancement Can be geared towards the preparation for the International Council on Systems Engineering Certified Systems Engineering Professional (CSEP) program Courses taught by experienced professionals well-versed in practical systems engineering applications All new cutting-edge facilities and laboratories Free on-campus childcare for Central students"
English,"English, BA",/programs/english-ba,"Small classes with engaged and diverse faculty Internship opportunities Student opportunities to write, publish, and read their works Study abroad experiences Accelerated program option to complete the BA and MA in five years Minors available in Creative Writing, Writing and Publishing, Teaching English to Speakers of Other Languages (TESOL), Descriptive Linguistics, Cinema Studies, and American Studies Financial aid and scholarships available Free on-campus child care available"
English,"English, Minor",/programs/english-minor,
